ENSEMBL,ENTREZID,GENENAME,GENETYPE,SYMBOL,logFC,logCPM,F,PValue,FDR
ENSG00000130349,51250,mitochondrial transcription rescue factor 1,protein-coding,MTRES1,-0.26861203146567453,7.179690901493988,24.73575618232816,0.15434443703481773,0.9999855027924853
ENSG00000136002,50649,Rho guanine nucleotide exchange factor 4,protein-coding,ARHGEF4,-0.23861243369158147,7.0936547652665025,15.534399277274195,0.22102303247760785,0.9999855027924853
ENSG00000206729,106481535,"RNA, U6 small nuclear 1126, pseudogene",pseudo,RNU6-1126P,0.23522532338827087,6.956830124105595,2.412014314266888,0.27083125124046625,0.9999855027924853
ENSG00000230799,100270860,ribosomal protein S2 pseudogene 16,pseudo,RPS2P16,-0.21719388104656476,7.159101703764816,10.369967189108436,0.2604102004710766,0.9999855027924853
ENSG00000254833,NA,NA,NA,NA,-0.2058077239365023,6.807371471982413,0.6418242025641031,0.4290727622300927,0.9999855027924853
ENSG00000229758,NA,NA,NA,NA,-0.19192840771244468,7.127389870118741,8.977206552163578,0.3211119752264112,0.9999855027924853
ENSG00000257241,NA,NA,NA,NA,-0.18980727682243134,7.549122618932431,3.16651186008664,0.24876678634093424,0.9999855027924853
ENSG00000261569,NA,NA,NA,NA,0.1814511674131647,7.162027695455998,1.8370615746515524,0.34846160936462234,0.9999855027924853
ENSG00000152990,166647,adhesion G protein-coupled receptor A3,protein-coding,ADGRA3,-0.17815180866931632,7.13560276036713,10.762146430834703,0.35478855016507554,0.9999855027924853
ENSG00000228082,NA,NA,NA,NA,0.15728937600289686,7.218995709442743,0.5783850264840584,0.45262020854436436,0.9999855027924853
